Table 1: Overall Reports and Dollar Loss,,,,,,,,
total_reports,total_dollar_loss,average_loss,,,,,,
350361,2687420244,7670.432051,,,,,,
,,,,,,,,
Table 2: Cases With Reported Loss,,,,,,,,
total_cases,cases_with_loss,percent_with_loss,,,,,,
350361,86845,24.79,,,,,,
,,,,,,,,
Table 3: Fraud Reports by Category,,,,,,,,
fraud_category,total_reports,total_loss,,,,,,
2021-02-01 0:00:00,10688,28986608.26,,,,,,
2021-03-01 0:00:00,11580,22154229.81,,,,,,
2021-04-01 0:00:00,8945,25278725.58,,,,,,
2021-05-01 0:00:00,8421,24812235.45,,,,,,
2021-06-01 0:00:00,8730,31788336.23,,,,,,
2021-07-01 0:00:00,8885,27617638.59,,,,,,
2021-08-01 0:00:00,8488,28917426.7,,,,,,
2021-09-01 0:00:00,8316,35661681.01,,,,,,
2021-10-01 0:00:00,8336,41552412.89,,,,,,
2021-11-01 0:00:00,9004,48098880.26,,,,,,
2021-12-01 0:00:00,7332,58136667.43,,,,,,
2022-01-01 0:00:00,8014,38411967.32,,,,,,
2022-02-01 0:00:00,6653,42743644.59,,,,,,
2022-03-01 0:00:00,8935,50420417.65,,,,,,
2022-04-01 0:00:00,8930,41078124.93,,,,,,
2022-05-01 0:00:00,8600,42604949.77,,,,,,
2022-06-01 0:00:00,7857,38200342.47,,,,,,
2022-07-01 0:00:00,7552,43138856.77,,,,,,
2022-08-01 0:00:00,7492,37581406.39,,,,,,
2022-09-01 0:00:00,6798,37453923.82,,,,,,
2022-10-01 0:00:00,6604,56845054.73,,,,,,
2022-11-01 0:00:00,7529,66247640.52,,,,,,
2022-12-01 0:00:00,8127,38877312.37,,,,,,
2023-01-01 0:00:00,7294,44806718.7,,,,,,
2023-02-01 0:00:00,5696,47752237.91,,,,,,
2023-03-01 0:00:00,6403,47265087.04,,,,,,
2023-04-01 0:00:00,3395,40525082.48,,,,,,
2023-05-01 0:00:00,5203,57175650.92,,,,,,
2023-06-01 0:00:00,6036,55248025.81,,,,,,
2023-07-01 0:00:00,6257,38158745.02,,,,,,
2023-08-01 0:00:00,5002,50965567.6,,,,,,
2023-09-01 0:00:00,5278,47479982.9,,,,,,
2023-10-01 0:00:00,5097,48523054.35,,,,,,
2023-11-01 0:00:00,4169,48034414.71,,,,,,
2023-12-01 0:00:00,4186,52212142.31,,,,,,
2024-01-01 0:00:00,4311,49214589.57,,,,,,
2024-02-01 0:00:00,3824,44595262.18,,,,,,
2024-03-01 0:00:00,3663,37594292.53,,,,,,
2024-04-01 0:00:00,4567,69934934.27,,,,,,
2024-05-01 0:00:00,4753,60852356.2,,,,,,
2024-06-01 0:00:00,3724,60198462.99,,,,,,
2024-07-01 0:00:00,3645,49433715.22,,,,,,
